cod_5;nome_5;descr_5
2.4.1.1.0;Medici generici;"Le professioni comprese in questa unità diagnosticano, trattano e curano le disfunzioni, le malattie e le lesioni più comuni e maggiormente diffuse nella popolazione; attuano misure per la diagnosi precoce di gravi patologie in pazienti a rischio; prescrivono farmaci e terapie non farmacologiche, esami clinici per le diagnosi, ricoveri ospedalieri e visite presso medici specialisti; seguono il decorso delle patologie e delle relative cure; sollecitano e attuano interventi di prevenzione presso i pazienti o presso le organizzazioni in cui operano."
2.4.1.2.0;Specialisti in terapie mediche;Le professioni comprese in questa unità conducono ricerche su teorie e metodi ovvero applicano le conoscenze esistenti nel campo della diagnosi e del trattamento specialistico non chirurgico delle lesioni, dei traumi, delle disfunzioni e delle patologie della pelle, del sangue, cardiovascolari, polmonari, endocrinologiche, allergologiche, geriatriche, pediatriche, oncologiche, neurologiche, psichiatriche, reumatologiche, gastrointestinali e dell'apparato urinario. Prescrivono farmaci, cure ed esami diagnostici.
2.4.1.3.0;Specialisti in terapie chirurgiche;Le professioni comprese in questa unità conducono ricerche su teorie e metodi ovvero applicano le conoscenze esistenti nel campo della diagnosi e del trattamento chirurgico specialistico delle lesioni, dei traumi, delle disfunzioni e delle patologie. Sono compresi in questa categoria gli specialisti del trattamento chirurgico delle patologie otorinolaringoiatriche, ortopediche, ginecologiche, urogenitali, oculistiche, dell'apparato digerente, del distretto toracico e di quello maxillo-facciale, del cuore e del sistema nervoso, nonchè gli specialisti che effettuano interventi chirurgici a fini estetici. Prescrivono farmaci, cure ed esami diagnostici.
2.4.1.4.0;Laboratoristi e patologi clinici;Le professioni comprese in questa unità conducono ricerche su teorie e metodi ovvero applicano le conoscenze esistenti nel campo dell’analisi patologica, tossicologica, genetica, embriologica, ematologica, immunologica, istologica e citologica e nel campo del funzionamento in condizioni normali e fuori dalla norma degli organi, dei tessuti, delle cellule, delle ghiandole e dei sistemi ghiandolari umani. Prescrivono farmaci, cure ed esami diagnostici.
2.4.1.5.0;Dentisti e odontostomatologi;"Le professioni comprese in questa unità conducono ricerche su teorie e metodi, ovvero applicano le conoscenze esistenti nel campo della diagnosi, del trattamento delle patologie, delle lesioni e delle malformazioni delle arcate dentarie e delle altre strutture della cavità orale; trattano le anomalie delle occlusioni dentali e delle altre strutture del cavo orale; trattano le patologie delle strutture nervose e degli altri tessuti dentali. Prescrivono farmaci, cure ed esami diagnostici"
2.4.1.6.0;Specialisti in diagnostica per immagini e radioterapia;Le professioni comprese in questa unità conducono ricerche su teorie e metodi ovvero applicano le conoscenze esistenti nel campo della diagnosi delle patologie degli organi interni attraverso immagini e tracciati prodotti da ultrasuoni, campi magnetici, radiazioni o isotopi radioattivi e nel campo del trattamento radiologico o ultrasonico di alcune patologie. Prescrivono farmaci, cure ed esami diagnostici
2.4.1.7.1;Dietologi e igienisti;Le professioni comprese in questa unità conducono ricerche su teorie e metodi ovvero applicano le conoscenze esistenti nel campo della prevenzione, della diagnosi e del trattamento delle patologie e delle disfunzioni derivanti da disordine alimentare, nonché nel campo della definizione delle relative metodiche di controllo e prevenzione. Prescrivono farmaci, cure ed esami diagnostici.
2.4.1.7.2;Specialisti in medicina sociale e del lavoro;Le professioni comprese in questa unità conducono ricerche su teorie e metodi ovvero applicano le conoscenze esistenti nel campo della prevenzione, della diagnosi e del trattamento delle patologie e delle disfunzioni derivanti dall’esercizio di attività lavorative e sportive, nonché nel campo della definizione delle relative metodiche di controllo e prevenzione. Prescrivono farmaci, cure ed esami diagnostici.
2.4.1.7.3;Epidemiologi;Le professioni comprese in questa unità conducono ricerche su teorie e metodi ovvero applicano le conoscenze esistenti nel campo della individuazione e descrizione dei fattori sottostanti alla distribuzione e alla diffusione nella popolazione delle patologie, delle disabilità, delle disfunzioni e di altre condizioni di salute, nonché nel campo della definizione delle relative metodiche di controllo e prevenzione.
2.4.1.8.0;Anestesisti e rianimatori;"Le professioni comprese in questa unità conducono ricerche su teorie e metodi ovvero applicano le conoscenze esistenti nel campo della anestesiologia e della rianimazione per somministrare anestetici nel corso di interventi chirurgici o di altre procedure mediche; individuano le condizioni di sicurezza della somministrazione di anestetici; riportano i pazienti sottoposti ai trattamenti in condizioni di veglia; intervengono con farmaci salvavita e tecniche e metodiche di rianimazione in situazioni di pericolo. Prescrivono farmaci, cure ed esami diagnostici."
2.5.1.1.1;Specialisti della gestione nella Pubblica Amministrazione;Le professioni comprese in questa unità coordinano le attività degli uffici dell’amministrazione statale e locale, delle aziende autonome, delle Università, degli Enti di Ricerca e del Servizio Sanitario Nazionale, formulano proposte e pareri ai dirigenti da cui dipendono funzionalmente, curano l’attuazione dei progetti, delle attività amministrative e delle procedure loro affidate, coordinando le attività del personale subordinato.
2.5.1.1.2;Specialisti del controllo nella Pubblica Amministrazione;Le professioni comprese in questa unità verificano, controllano e forniscono assistenza sulla corretta applicazione delle leggi e dei regolamenti dello Stato, sia da parte della popolazione interessata che da parte della stessa amministrazione pubblica.
2.5.1.1.3;Specialisti in pubblica sicurezza;Le professioni comprese in questa unità coordinano localmente le attività degli uffici di pubblica sicurezza, di polizia tributaria e di protezione civile. Implementano strategie di prevenzione dei reati, di ricerca e denuncia delle evasioni e delle violazioni finanziarie, di vigilanza sull'adempimento delle disposizioni di interesse politico-economico, di polizia finanziaria e doganale, di mantenimento dell'ordine, della sicurezza pubblica e delle frontiere.
2.5.1.2.0;Specialisti della gestione e del controllo nelle imprese private;"Le professioni comprese in questa unità conducono ricerche, studi e valutazioni nel campo dell’organizzazione, della progettazione e definizione delle procedure e dei servizi amministrativi e dei sistemi di assicurazione della qualità necessari alla gestione delle attività di impresa, ovvero applicano le conoscenze in materia e le procedure esistenti per fornirli, implementarli e migliorarli; conducono studi sui costi di impresa per individuare modalità di controllo."
2.5.1.3.1;Specialisti in risorse umane;Le professioni comprese in questa unità si occupano della selezione e del reclutamento del personale necessario, definiscono i criteri e i programmi di sviluppo delle carriere, dei compensi e degli investimenti in formazione.
2.5.1.3.2;Specialisti dell’organizzazione del lavoro;Le professioni comprese in questa unità analizzano e definiscono l'organizzazione del lavoro, individuano i fabbisogni quantitativi e qualitativi di personale, redigono organigrammi, procedure, job descriptions e istruzioni.
2.5.1.4.1;Specialisti in contabilità;Le professioni comprese in questa unità esaminano, analizzano, interpretano le informazioni contabili per formulare pareri, preparare indicazioni e proposte su questioni contabili, fiscali e finanziarie, per certificare la correttezza e la conformità delle scritture aziendali alle leggi e ai regolamenti, ovvero coordinano le attività di gestione e di produzione delle scritture contabili. L’esercizio della professione di Dottore Commercialista è regolato dalle leggi dello Stato.
2.5.1.4.2;Fiscalisti e tributaristi;Le professioni comprese in questa unità esaminano, analizzano, interpretano informazioni per formulare pareri, preparare indicazioni e proposte su questioni fiscali, individuano e definiscono gli obblighi fiscali di organizzazioni o persone
2.5.1.4.3;Specialisti in attività finanziarie;"Le professioni comprese in questa unità esaminano, analizzano, interpretano informazioni per formulare pareri, preparare indicazioni e proposte su questioni finanziarie, conducono transazioni finanziarie assicurando la conformità con le leggi e i regolamenti relativi, svolgono analisi quantitative su programmi e piani di investimento, determinano il grado di rischio nel fornire crediti a persone o a organizzazioni; valutano, autorizzano e definiscono le modalità di corresponsione di prestiti e le condizioni della loro garanzia e restituzione"
2.5.1.5.1;Specialisti nell’acquisizione di beni e servizi;Le professioni comprese in questa unità analizzano le condizioni di vendita, i prezzi ed acquistano sul mercato materie prime, componenti, attrezzature e forniture di servizi per rivenderli al pubblico o per utilizzarli nelle attività dell’impresa.
2.5.1.5.2;Specialisti nella commercializzazione di beni e servizi (escluso il settore ICT);Le professioni comprese in questa unità si occupano dell'implementazione delle strategie di vendita, dell'efficienza della rete distributiva e commerciale, del monitoraggio delle vendite e del gradimento sul mercato dei beni o dei servizi prodotti, sia pubblici che d'impresa.
2.5.1.5.3;Specialisti nella commercializzazione nel settore delle tecnologie dell’informazione e della comunicazione;Le professioni comprese in questa unità si occupano dell'implementazione delle strategie di vendita di beni e servizi nel settore delle tecnologie dell'informazione e della comunicazione, dell'efficienza della rete distributiva e commerciale, del monitoraggio delle vendite e del gradimento sul mercato dei beni o dei servizi prodotti, sia pubblici che d'impresa.
2.5.1.5.4;Analisti di mercato;"Le professioni comprese in questa unità conducono ricerche sulle condizioni di mercato a diversi livelli territoriali per individuare le possibilità di penetrazione commerciale di prodotti o servizi; ne individuano le situazioni di competizione, i prezzi e le modalità di vendita e di distribuzione."
2.5.1.6.0;Specialisti delle relazioni pubbliche, dell'immagine e professioni assimilate;Le professioni comprese in questa unità promuovono le relazioni pubbliche e l'immagine di un’impresa o di un'organizzazione scrivendo testi, selezionando e diffondendo materiale pubblicistico favorevole, organizzando e sponsorizzando eventi di particolare importanza e visibilità, attività benefiche a favore della popolazione e attività similari non direttamente collegate alla promozione pubblicitaria.
2.5.2.1.0;Avvocati;"Le professioni comprese in questa unità rappresentano e tutelano gli interessi di persone e organizzazioni nelle procedure legali e nei diversi gradi dei processi penali, civili e amministrativi; stilano documenti, contratti e forniscono consulenze legali in materia di transazioni e di atti fra persone in vita. L’esercizio della professione di Avvocato è regolato dalle leggi dello Stato."
2.5.2.2.1;Esperti legali in imprese;"Le professioni comprese in questa unita affrontano, gestendo e coordinando le attività di appositi uffici, gli aspetti legali propri delle attività di imprese, rappresentandole e tutelandone eventualmente gli interessi nelle procedure legali, nei diversi gradi dei processi penali, civili ed amministrativi; stilando documenti, contratti e altri atti legali. L’esercizio della professione di Consulente in proprietà industriale è regolato dalle leggi dello Stato."
2.5.2.2.2;Esperi legali in enti pubblici;"Le professioni comprese in questa unità affrontano, gestendo e coordinando le attività di appositi uffici, gli aspetti legali propri delle attività di organizzazioni o della stessa Amministrazione Pubblica, rappresentandole e tutelandone eventualmente gli interessi nelle procedure legali, nei diversi gradi dei processi penali, civili ed amministrativi; stilando documenti, contratti e altri atti legali."
2.5.2.3.0;Notai;"Le professioni comprese in questa unità ricevono e redigono gli atti tra persone in vita e di ultima volontà; attribuiscono loro pubblica fede; li conservano; ne rilasciano copia, estratti e certificazioni; accertano la volontà dei contraenti e la traducono in linguaggio giuridico, garantendo la legalità dell’atto così messo in essere; consigliano alle parti l’atto più idoneo a raggiungere gli obiettivi prefissati; verificano la legalità dei contenuti oggetto degli accordi e delle transazioni. L’esercizio della professione di Notaio è regolato dalle leggi dello Stato."
2.5.2.4.0;Magistrati;"Le professioni comprese in questa unità accertano le condizioni dell’azione penale e la esercitano; amministrano la giustizia penale, civile, amministrativa ed ecclesiastica nei diversi gradi del processo; controllano la liceità e la congruenza alle leggi e ai regolamenti della spesa pubblica; conducono arbitrati."
2.5.3.1.1;Specialisti dei sistemi economici;Le professioni comprese in questa unità conducono ricerche su concetti, teorie e metodi per analizzare e comprendere il funzionamento del mercato dei beni e dei servizi, per individuare soluzioni ai problemi economici, programmare e supportare la realizzazione delle politiche di sostegno e di regolazione dell’economia.
2.5.3.1.2;Specialisti dell'economia aziendale;Le professioni comprese in questa unità conducono ricerche su concetti, teorie e metodi per analizzare la strategia, la struttura e il ciclo di produzione di imprese o di organizzazioni per migliorarne le prestazioni e individuare le risposte più adeguate alle sollecitazioni provenienti dal sistema economico.
2.5.3.2.1;Esperti nello studio, nella gestione e nel controllo dei fenomeni sociali;Le professioni comprese in questa unità studiano e descrivono le strutture dei sistemi sociali, le popolazioni, i gruppi sociali e le istituzioni che li costituiscono, progettano, dirigono e valutano interventi nel campo delle politiche e dei servizi sociali. La professione di Assistente sociale specialista è regolata dalle leggi dello Stato.
2.5.3.2.2;Antropologi;Le professioni comprese in questa unità studiano i caratteri morfologici e le attitudini della specie umana nel corso dei processi evolutivi e del presente, l’origine e l’evoluzione della cultura, dei costumi e del modo di vita dei popoli, del loro agire collettivo e delle strutture sociali che li hanno caratterizzati.
2.5.3.2.3;Geografi;Le professioni comprese in questa unità studiano la natura e l’uso della superficie terrestre individuando le interrelazioni fra fenomeni fisici, naturali e antropici, il clima, la flora, la fauna e le implicazioni sulle attività umane e sull’organizzazione sociale, politica ed economica dei luoghi.
2.5.3.2.4;Archeologi;Le professioni comprese in questa unità ricostruiscono la cultura materiale e la storia dei popoli attraverso reperti provenienti da scavi o da altre metodologie di indagine archeologica.
2.5.3.3.1;Psicologi clinici e psicoterapeuti;"Le professioni comprese in questa unità studiano i processi mentali e i comportamenti di individui e di gruppi; diagnosticano e trattano disabilità cognitive, problemi e disordini mentali, comportamentali ed emotivi. L’esercizio della professione di Psicoterapeuta è regolato dalle leggi dello Stato."
2.5.3.3.2;Psicologi dello sviluppo e dell’educazione;"Le professioni comprese in questa unità studiano i processi mentali e i comportamenti di individui e di gruppi; intervengono per migliorarne il benessere psichico, promuoverne l’adattamento sociale, educativo e lavorativo."
2.5.3.3.3;Psicologi del lavoro e delle organizzazioni;"Le professioni comprese in questa unità professionale studiano i processi mentali e i comportamenti di individui e di gruppi; studiano gli assetti di imprese e organizzazioni e applicano i principi della psicologia per affrontare problemi di produttività del lavoro e gestione del personale, disegnare e programmare politiche di sviluppo delle carriere e della formazione della forza lavoro."
2.5.3.4.1;Storici;Le professioni comprese in questa unità studiano, descrivono e interpretano gli eventi del passato utilizzando fonti di varia natura, ricostruendo la storia di popoli e nazioni.
2.5.3.4.2;Esperti d’arte;Le professioni comprese in questa unità conducono ricerche nel campo della storia dell’arte e della produzione estetica e applicano tali conoscenze per valutare, identificare e promuovere opere d’arte ed artisti.
2.5.3.4.3;Specialisti in scienza politica;Le professioni comprese in questa unità studiano, descrivono e interpretano l’origine, lo sviluppo, il funzionamento e le logiche dei sistemi e delle ideologie politiche, le relazioni diplomatiche, economiche e politiche fra gli Stati, i modi di costruzione delle decisioni politiche, le loro interrelazioni con l’opinione pubblica, l’attività dei governi e dei partiti, le ragioni e le conseguenze dei risultati elettorali.
2.5.3.4.4;Filosofi;Le professioni comprese in questa unità conducono ricerche nel campo dell’epistemologia, della metafisica, dell’etica, dell’estetica e della filosofia in generale.
2.5.4.1.1;Scrittori e poeti;Le professioni comprese in questa unità concepiscono, creano e rendono disponibili al pubblico opere di scrittura letteraria e professionale.
2.5.4.1.2;Dialoghisti e parolieri;Le professioni comprese in questa unità scrivono soggetti e dialoghi per il cinema, la radio e la televisione, testi e libretti da musicare.
2.5.4.1.3;Redattori di testi per la pubblicità;Le professioni comprese in questa unità redigono testi informativi e pubblicitari di beni e servizi da diffondere a mezzo stampa, radiotelevisione e altri mezzi di comunicazione mediatica.
2.5.4.1.4;Redattori di testi tecnici;Le professioni comprese in questa unità scrivono manuali, guide, appendici tecniche, fogli, testi informativi e libretti di istruzione per beni di consumo, macchine e attrezzature.
2.5.4.2.0;Giornalisti;"Le professioni comprese in questa unità raccolgono, riportano e commentano notizie o vicende di cronaca da pubblicare su quotidiani, periodici, radio-televisione, siti Internet ed altri mezzi di comunicazione mediatica; intervistano altre persone su questioni di varia natura; scrivono editoriali ed esprimono opinioni su fatti ed avvenimenti; rivedono, selezionano e organizzano articoli ed altri materiali informativi per la pubblicazione, nel rispetto delle leggi sulla privacy. L’esercizio della professione di Giornalista è regolato dalle leggi dello Stato."
2.5.4.3.0;Interpreti e traduttori di livello elevato;"Le professioni comprese in questa unità traducono testi da una lingua ad un’altra assicurando che venga mantenuto il corretto significato del testo originale, che il significato di testi legali, scientifici, tecno-operativi e istituzionali sia correttamente reso e che la fraseologia, la terminologia, lo spirito e lo stile dei testi scritti e orali sia trasmesso nel modo più adeguato; interpretano discorsi da una lingua ad un’altra in convegni, trattative o in altre occasioni assicurando che siano trasmessi il corretto significato e lo spirito del discorso originale."
2.5.4.4.1;Linguisti e filologi;Le professioni comprese in questa unità conducono ricerche e studi sull’origine, l’evoluzione e la struttura delle lingue, le relazioni fra lingue antiche dello stesso ceppo e lingue moderne, le grammatiche ed i vocaboli, le interazioni fra linguistica e ICT.
2.5.4.4.2;Revisori di testi;Le professioni comprese in questa unità applicano le conoscenze in materia linguistica per la revisione critica di testi scritti da pubblicare, audiovisivi e multimediali.
2.5.4.5.1;Archivisti;"Le professioni comprese in questa unità conducono ricerche, acquisiscono, valutano e garantiscono la conservazione di archivi correnti, di deposito o storici di particolare interesse, ne garantiscono la conservazione, l’accessibilità e la fruizione pubblica, li rendono disponibili su microfilm, supporti digitali o di altra natura; organizzano attività di promozione, mostre ed eventi."
2.5.4.5.2;Bibliotecari;"Le professioni comprese in questa unità provvedono alla indicizzazione, classificazione e catalogazione di libri, ne garantiscono la conservazione, l’accessibilità e la fruizione pubblica; li rendono disponibili su microfilm, supporti digitali o di altra natura; organizzano attività di promozione, mostre ed eventi."
2.5.4.5.3;Curatori e conservatori di musei;"Le professioni comprese in questa unità conducono ricerche, acquisiscono, valutano e garantiscono la conservazione di artefatti di interesse storico, culturale o artistico e di opere d’arte; ne rendono disponibile la documentazione su microfilm, supporti digitali o di altra natura; organizzano attività di promozione, mostre ed eventi."
2.5.5.1.1;Pittori e scultori;Le professioni comprese in questa unità conducono ricerche sui modi della conoscenza e della rappresentazione estetica, creano e realizzano opere d’arte dipingendo, disegnando e scolpendo con tecniche diverse, rappresentazioni originali della realtà.
2.5.5.1.2;Disegnatori artistici e illustratori;Le professioni comprese in questa unità utilizzano tecniche, conoscenze e capacità artistiche per creare prodotti artistici a fini decorativi, illustrativi e commerciali.
2.5.5.1.3;Disegnatori di moda;Le professioni classificate nell'unità producono, utilizzando varie tecniche di disegno artistico, schizzi, bozzetti, disegni di dettaglio ed elaborati grafici finalizzati alla produzione di abiti, lingerie, calzature e altri accessori di abbigliamento.
2.5.5.1.4;Creatori artistici a fini commerciali (esclusa la moda);Le professioni classificate nell'unità creano, utilizzando varie tecniche di espressione artistica, bozzetti, disegni di dettaglio, elaborati grafici anche digitali finalizzati alla progettazione di nuovi artefatti digitali o prodotti industriali, al restyling di prodotti già in commercio e alla comunicazione pubblicitaria.
2.5.5.1.5;Restauratori di beni culturali;Le professioni comprese in questa unità utilizzano tecniche, conoscenze e capacità artistiche per recuperare, restaurare e conservare opere d’arte. L’esercizio della professione di restauratore di beni culturali è regolata dalle leggi dello Stato.
2.5.5.2.1;Registi;Le professioni comprese in questa unità concepiscono e dirigono opere radio-televisive, cinematografiche, teatrali, altri tipi di rappresentazioni pubbliche e performance artistiche
2.5.5.2.2;Attori;Le professioni comprese in questa unità interpretano personaggi e ruoli da rappresentare.
2.5.5.2.3;Direttori artistici;"Le professioni comprese in questa unità programmano, organizzano, indirizzano e curano rappresentazioni pubbliche, stagioni, rassegne, festival e performance artistiche, secondo determinati contenuti, scelte e linee artistico-culturali; indicano protagonisti, caratteristiche, tematiche e modalità di svolgimento."
2.5.5.2.4;Sceneggiatori;Le professioni comprese in questa unità narrano i soggetti considerando l'azione teatrale, cinematografica, televisiva e radiofonica.
2.5.5.2.5;Scenografi;Le professioni comprese in questa unità progettano e realizzano le scene di opere televisive, cinematografiche, teatrali e di altri tipi di rappresentazioni pubbliche.
2.5.5.3.1;Coreografi;"Le professioni comprese in questa unità conducono ricerche sulle modalità della rappresentazione estetica in ambito coreutico; concepiscono e creano balletti."
2.5.5.3.2;Ballerini;Le professioni comprese in questa unità eseguono balletti da solisti o con partner, interpretando con la danza significati di narrazioni o di composizioni e brani musicali.
2.5.5.4.1;Compositori;"Le professioni comprese in questa unità conducono ricerche sulle modalità della rappresentazione estetica in ambito musicale; concepiscono e creano composizioni e brani musicali."
2.5.5.4.2;Direttori d'orchestra e coro;"Le professioni comprese in questa unità conducono ricerche sulle modalità della rappresentazione estetica in ambito musicale; dirigono orchestre e cori interpretando i brani da realizzare; applicano le conoscenze in campo musicale per adattare e arrangiare brani."
2.5.5.4.3;Strumentisti;"Le professioni comprese in questa unità interpretano ed eseguono partiture, brani e concerti utilizzando strumenti musicali di vario tipo da solisti, in orchestre o in gruppi musicali; applicano le conoscenze in campo musicale per arrangiare ed eseguire brani."
2.5.5.4.4;Cantanti;"Le professioni comprese in questa unità conducono ricerche sulle modalità della rappresentazione estetica in ambito musicale; concepiscono, interpretano ed eseguono brani e rappresentazioni canore da solisti, in coro, con partner o gruppi musicali, in performance e rappresentazioni artistiche di vario tipo, anche attraverso i mezzi di comunicazione di massa."
2.5.5.5.1;Artisti delle forme di cultura popolare;Le professioni comprese in questa unità eseguono performance artistiche, acrobatiche e ricreative per strada e nelle piazze.
2.5.5.5.2;Artisti di varietà;Le professioni classificate nell'unità eseguono performance artistiche, acrobatiche e ricreative in varietà teatrali, musicali e nei locali pubblici.
2.5.5.5.3;Acrobati e artisti circensi;Le professioni classificate nell'unità eseguono performance artistiche, acrobatiche e ricreative nei circhi.
2.5.6.1.0;Specialisti in discipline religiose e teologiche;"Le professioni comprese in questa unità conducono studi e ricerche in campo teologico, ovvero forniscono servizi religiosi e spirituali associati alla pratica di una fede religiosa; fungono da guida morale e spirituale ai praticanti; programmano, dirigono e coordinano le attività delle organizzazioni religiose e delle comunità dei credenti; promuovono e propagandano la fede e la dottrina religiosa."
2.6.1.1.1;Docenti universitari in scienze matematiche e dell'informazione;"Le professioni comprese in questa unità progettano, dirigono e conducono ricerche finalizzate a migliorare e ad innovare la conoscenza scientifica o la sua applicazione in ambito produttivo; insegnano la teoria e la pratica di una o più discipline di cui sono esperti, ne definiscono i curricula, preparano i corsi di studio, i materiali didattici e le attività di laboratorio, stimolano la discussione e la partecipazione degli studenti alle lezioni, somministrano prove ed esami, assegnano tesi e ne danno valutazioni; dirigono le attività di ricerca degli studenti dei corsi di specializzazione e di dottorato; partecipano alle decisioni sulle politiche dell’Università; pubblicano articoli e saggi scientifici, partecipano a convegni e conferenze."
2.6.1.1.2;Docenti universitari in scienze fisiche;"Le professioni comprese in questa unità progettano, dirigono e conducono ricerche finalizzate a migliorare e ad innovare la conoscenza scientifica o la sua applicazione in ambito produttivo; insegnano la teoria e la pratica di una o più discipline di cui sono esperti, ne definiscono i curricula, preparano i corsi di studio, i materiali didattici e le attività di laboratorio, stimolano la discussione e la partecipazione degli studenti alle lezioni, somministrano prove ed esami, assegnano tesi e ne danno valutazioni; dirigono le attività di ricerca degli studenti dei corsi di specializzazione e di dottorato; partecipano alle decisioni sulle politiche dell’Università; pubblicano articoli e saggi scientifici, partecipano a convegni e conferenze."
2.6.1.1.3;Docenti universitari in scienze chimiche e farmaceutiche;"Le professioni comprese in questa unità progettano, dirigono e conducono ricerche finalizzate a migliorare e ad innovare la conoscenza scientifica o la sua applicazione in ambito produttivo; insegnano la teoria e la pratica di una o più discipline di cui sono esperti, ne definiscono i curricula, preparano i corsi di studio, i materiali didattici e le attività di laboratorio, stimolano la discussione e la partecipazione degli studenti alle lezioni, somministrano prove ed esami, assegnano tesi e ne danno valutazioni; dirigono le attività di ricerca degli studenti dei corsi di specializzazione e di dottorato; partecipano alle decisioni sulle politiche dell’Università; pubblicano articoli e saggi scientifici, partecipano a convegni e conferenze."
2.6.1.1.4;Docenti universitari in scienze della terra;"Le professioni comprese in questa unità progettano, dirigono e conducono ricerche finalizzate a migliorare e ad innovare la conoscenza scientifica o la sua applicazione in ambito produttivo; insegnano la teoria e la pratica di una o più discipline di cui sono esperti, ne definiscono i curricula, preparano i corsi di studio, i materiali didattici e le attività di laboratorio, stimolano la discussione e la partecipazione degli studenti alle lezioni, somministrano prove ed esami, assegnano tesi e ne danno valutazioni; dirigono le attività di ricerca degli studenti dei corsi di specializzazione e di dottorato; partecipano alle decisioni sulle politiche dell’Università; pubblicano articoli e saggi scientifici, partecipano a convegni e conferenze."
2.6.1.2.1;Docenti universitari in scienze biologiche;"Le professioni comprese in questa unità progettano, dirigono e conducono ricerche finalizzate a migliorare e ad innovare la conoscenza scientifica o la sua applicazione in ambito produttivo; insegnano la teoria e la pratica di una o più discipline di cui sono esperti, ne definiscono i curricula, preparano i corsi di studio, i materiali didattici e le attività di laboratorio, stimolano la discussione e la partecipazione degli studenti alle lezioni, somministrano prove ed esami, assegnano tesi e ne danno valutazioni; dirigono le attività di ricerca degli studenti dei corsi di specializzazione e di dottorato; partecipano alle decisioni sulle politiche dell’Università; pubblicano articoli e saggi scientifici, partecipano a convegni e conferenze."
2.6.1.2.2;Docenti universitari in scienze agrarie, zootecniche e della produzione animale;"Le professioni comprese in questa unità progettano, dirigono e conducono ricerche finalizzate a migliorare e ad innovare la conoscenza scientifica o la sua applicazione in ambito produttivo; insegnano la teoria e la pratica di una o più discipline di cui sono esperti, ne definiscono i curricula, preparano i corsi di studio, i materiali didattici e le attività di laboratorio, stimolano la discussione e la partecipazione degli studenti alle lezioni, somministrano prove ed esami, assegnano tesi e ne danno valutazioni; dirigono le attività di ricerca degli studenti dei corsi di specializzazione e di dottorato; partecipano alle decisioni sulle politiche dell’Università; pubblicano articoli e saggi scientifici, partecipano a convegni e conferenze."
2.6.1.2.3;Docenti universitari in scienze mediche;"Le professioni comprese in questa unità progettano, dirigono e conducono ricerche finalizzate a migliorare e ad innovare la conoscenza scientifica o la sua applicazione in ambito produttivo; insegnano la teoria e la pratica di una o più discipline di cui sono esperti, ne definiscono i curricula, preparano i corsi di studio, i materiali didattici e le attività di laboratorio, stimolano la discussione e la partecipazione degli studenti alle lezioni, somministrano prove ed esami, assegnano tesi e ne danno valutazioni; dirigono le attività di ricerca degli studenti dei corsi di specializzazione e di dottorato; partecipano alle decisioni sulle politiche dell’Università; pubblicano articoli e saggi scientifici, partecipano a convegni e conferenze."
2.6.1.3.1;Docenti universitari in scienze ingegneristiche civili e dell’architettura;"Le professioni comprese in questa unità progettano, dirigono e conducono ricerche finalizzate a migliorare e ad innovare la conoscenza scientifica o la sua applicazione in ambito produttivo; insegnano la teoria e la pratica di una o più discipline di cui sono esperti, ne definiscono i curricula, preparano i corsi di studio, i materiali didattici e le attività di laboratorio, stimolano la discussione e la partecipazione degli studenti alle lezioni, somministrano prove ed esami, assegnano tesi e ne danno valutazioni; dirigono le attività di ricerca degli studenti dei corsi di specializzazione e di dottorato; partecipano alle decisioni sulle politiche dell’Università; pubblicano articoli e saggi scientifici, partecipano a convegni e conferenze."
2.6.1.3.2;Docenti universitari in scienze ingegneristiche industriali e dell’informazione;"Le professioni comprese in questa unità progettano, dirigono e conducono ricerche finalizzate a migliorare e ad innovare la conoscenza scientifica o la sua applicazione in ambito produttivo; insegnano la teoria e la pratica di una o più discipline di cui sono esperti, ne definiscono i curricula, preparano i corsi di studio, i materiali didattici e le attività di laboratorio, stimolano la discussione e la partecipazione degli studenti alle lezioni, somministrano prove ed esami, assegnano tesi e ne danno valutazioni; dirigono le attività di ricerca degli studenti dei corsi di specializzazione e di dottorato; partecipano alle decisioni sulle politiche dell’Università; pubblicano articoli e saggi scientifici, partecipano a convegni e conferenze."
2.6.1.4.0;Docenti universitari in scienze dell'antichità, filologico-letterarie e storico-artistiche;"Le professioni comprese in questa unità progettano, dirigono e conducono ricerche finalizzate a migliorare e ad innovare la conoscenza scientifica o la sua applicazione in ambito produttivo; insegnano la teoria e la pratica di una o più discipline di cui sono esperti, ne definiscono i curricula, preparano i corsi di studio, i materiali didattici e le attività di laboratorio, stimolano la discussione e la partecipazione degli studenti alle lezioni, somministrano prove ed esami, assegnano tesi e ne danno valutazioni; dirigono le attività di ricerca degli studenti dei corsi di specializzazione e di dottorato; partecipano alle decisioni sulle politiche dell’Università; pubblicano articoli e saggi scientifici, partecipano a convegni e conferenze."
